Club|Last Name|First Name|Pos|Base Salary|Compensation
NY|McLaws|Shawn|D|50000|50000
NYCFC|McNamara|Thomas|M|60000|71500
NYCFC|Meara|Ryan|GK|71663|72913
SEA|Mears|Tyrone|D|165000|174000
KC|Medranda|Jimmy|M|60000|60000
POR|Melano|Lucas|F|799992|799992
KC|Melia|Tim|GK|80000|84203.33
NYCFC|Mena|Jefferson|D|200000|211400
LA|Mendiola|Raul|F|60000|60400
CLB|Meram|Justin|F|165000|175000
SJ|Meredith|Bryan|GK|60000|60000
LA|Meyer|Tommy|D|60000|73750
VAN|Mezquida|Nicolas|M-F|80000|80000
NY|Miazga|Matt|D|68250|74500
MTL|Miller|Eric|M/D|60375|71375
NY|Miller|Roy|M|200000|200000
HOU|Miranda|Leonel|M|60000|60000
DC|Mishu|Luke|D|50000|50000
POOL|Mitchell|Trey|GK|50000.04|50000.04
ORL|Molino|Kevin|M|100000|111400
COL|Moor|Drew|D|258500|270500
TOR|Moore|Luke|F|215000|235500
RSL|Morales|Javier|M|300000|300000
VAN|Morales|Pedro|M|1190000|1410900
TOR|Morgan|Ashtone|D|100000|112000
TOR|Morrow|Justin|D|170000|179562.5
NE|Mulgrew|Timothy|F|50000.04|50000.04
RSL|Mulholland|Luke|M|82500|83750
NYCFC|Mullins|Patrick|F|80000|110000
KC|Mustivar|Soni|M|250000|250000
ORL|Mwanga|Danny|F|75000|82500
KC|Myers|Chance|D-M|170000|195000
KC|Nagamura|Paulo|M|230000|230000
POR|Nagbe|Darlington|M/F|244000|263000
POR|Nanchoff|Michael|M|60000|60000
SEA|Neagle|Lamar|M|165000|167833.33
ORL|Neal|Lewis|M|112500|119103.28
KC|Nemeth|Krisztian|F|250000|250000
NE|Neumann|Steve|M-F|71500|92750
NE|Nguyen|Lee|M/F|175000|193750
PHI|Nogueira|Vincent|M|330000|330000
CHI|Nyarko|Patrick|F|200000|215750
SJ|Nyassi|Sanna|M|120000|126250
NY|Obekop|Marius|M|50000|50000
SEA|Ockford|Jimmy|D|60000|60000
MTL|Oduro|Dominic|F|250000|251666.67
NE|Okoli|Sean|F|50000|50000
KC|Okugo|Amobi|M|275000|300000
RSL|Okwuonu|Boyd|D|60000|80000
HOU|Olabiyi|Rasheed|M|60000|60000
RSL|Olave|Jamison|D|290000|300000
KC|Opara|Ike|D|115000|121250
DC|Opare|Kofi|D|60000|60000
TOR|Osorio|Jonathan|M|145000|152599.68
NY|Ouimette|Karl|D|60000|60000
VAN|Ousted|David|GK|286000|302570
RSL|Ovalle|Adolfo|M|60000|70500
CHI|Palmer|Lovel|M|118000|125500
KC|Palmer-Brown|Erik|D|60000|60500
POR|Paparatto|Norberto|D|120000|120000
SEA|Pappa|Marco|M|75000|75000
VAN|Parker|Tim|D|60000|78750
CLB|Parkhurst|Michael|D|275000|300000
POR|Peay|Taylor|D|50000|50000
RSL|Pecka||M|60000|64166.67
SJ|Pelosi|Marc|M|60000|72500
DAL|Pereira|Michel|M/D|140000|161500
POR|Pereira|Jeanderson|D|60000|60000
DAL|Perez|Blas|F|350000|374250
SJ|Perez|Matias|M|240000|240000
LA|Perk|Brian|GK|60000|60000
SEA|Perkins|Troy|GK|130000|136662.5
TOR|Perquis|Damien|D|323000|372500
NY|Perrinelle|Damien|D|132000|132000
KC|Peterson|Jacob|F|123500|130375
PHI|Pfeffer|Zach|M|60000|60000
RSL|Phillips|Demar|D|140000|149666.67
MTL|Piatti|Ignacio|M|400000|400000
SJ|Pierazzi|Jean Baptiste|M|260000|260000
SEA|Pineda|Gonzalo|M|160000|160000
NYCFC|Pirlo|Andrea|M|2000004|2315694
COL|Pittinari|Lucas|M|190000|210000
RSL|Plata|Joao|F|150000|150000
CLB|Pogatetz|Emanuel|D|250000|262500
NYCFC|Poku|Kwadwo|M|60000|63045.09
CHI|Polster|Matt|D|60000|75000
DC|Pontius|Chris|M-F|365000|396000
MTL|Porter|Cameron|F|50000|50000
POR|Powell|Alvas|D|60000|68700
COL|Powers|Dillon|M|245000|275000
KC|Quintilla|Jordi|M|50000.04|59525.04
COL|Ramirez|Juan Edgardo|M|75000|75000
ORL|Ramos|Rafael|D|50000|50000
ORL|Redding|Tommy|D|85000|92500
SEA|Remick|Dylan|D|60000|60000
SJ|Renato|Paulo|D|96000|96000
MTL|Reo-Coker|Nigel|D-M|275000|275000
NY|Reynish|Kyle|GK|86000|90316.67
ORL|Ribeiro|Pedro|M|60000|60000
LA|Ribeiro Da Silva|Leonardo|D|150000|155000
NY|Richards|Dane|M|105000|105000
LA|Ricketts|Donovan|GK|260000|260000
POR|Ridgewell|Liam|D|1000000|1150000
COL|Riley|James|D|77500|83750
RSL|Rimando|Nick|GK|350000|370000
CHI|Ritter|Chris|M|60000|60000
ORL|Rivas|Carlos|M|60000|60000
ORL|Rivera|Sidney|F|50000|50000
VAN|Rivero|Octavio|F|890850|890850
TOR|Roberts|Quillan|GK|60000|60000
DC|Robinson|Jalen|D|70000|82000
NY|Robles|Luis|GK|130000|151375
ORL|Rochez|Bryan|F|200000|279500
HOU|Rodriguez|Jose "Memo"|M|60000|60000
HOU|Rodriguez|Raul|D|325000|354333.33
VAN|Rodriguez|Diego|D|124000|165750
LA|Rogers|Robbie|F|175000|191666.67
SEA|Roldan|Cristian|M|80000|102000
DC|Rolfe|Chris|F|210000|225000
MTL|Romero|Andres|F|100000|100000
LA|Romney|David|D|60000|60000
VAN|Rosales|Mauro|M|215000|265000
SEA|Rose|Andy|M|60000|60000
LA|Rowe|Brian|GK|60000|60000
NE|Rowe|Kelyn|M|140000|221000
NE|Rudy|Tyler|M|50000|50000
LA|Rugg|Charlie|F|60000|60000
DC|Saborio|Alvaro|F|400000|493333.33
CLB|Saeid|Mohammed|M|100000|110000
SJ|Salinas|Shea|M|145000|148333.33
NY|Sam|Lloyd|F|230000|240000
VAN|Sampson|Ethen|D|60000|60000
COL|Sanchez|Vicente|F|210000|286666.67
NY|Sanchez|Emmanuel|M|50000|50000
RSL|Sandoval|Devon|F|60000|60000
PHI|Sapong|CJ|F|125000|142000
HOU|Sarkodie|Kofi|D|190000|235500
COL|Sarvas|Marcelo|M|360000|425000
RSL|Saucedo|Sebastian|M|50000|60500
NYCFC|Saunders|Josh|GK|90000|90000
CLB|Sauro|Gaston|D|583200|599512.5
CLB|Schoenfeld|Aaron|F|60000|60000
RSL|Schuler|Chris|D|165000|182000
SEA|Scott|Zach|D|65000|65000
POR|Seaton|Michael|F|60000|63000
DAL|Seitz|Chris|GK|130000|130000
COL|Serna|Dillon|M|60000|73000
ORL|Shea|Brek|M-D|475000|520000
NYCFC|Shelton|Khiry|F|70000|87500
SJ|Sherrod|Mark|F|60000|60000
CHI|Shipp|Harrison|F|87500|112500
NE|Shuttleworth|Robert|GK|101250|111250
RSL|Silva|Luis|M|131384|162634
SJ|Silva|Matheus||50000.04|50000.04
TOR|Simonin|Clement|D|60000|60000
KC|Sinovic|Seth|M-D|140000|146750
COL|Sjoberg|Axel|D|60000|75000
NE|Smith|Donnie|M|60000|60000
VAN|Smith|Jordan|D|95000.04|102743.04
COL|Solignac|Luis|F|65004|65004
LA|Sorto|Oscar|D|60000|61875
DAL|Soumare|Bakary|D|225000|225000
NE|Spangenberg|Trevor|GK|50000|50000
CLB|Speas|Ben|F|68355|68355
COL|St. Ledger|Sean|D|124992|147492
HOU|Steinberger|Zach|M|60000|76250
CLB|Steindorsson|Kristinn|M|105000|119437.5
CHI|Stephens|Michael|M|95000|105000
SJ|Stephenson|Khari|M|68254.2|71645.94
RSL|Stertzer|John|M|60000|69166.67
SJ|Stewart|Jordan|M-D|150000|150000
NY|Stolz|Leo|M|70000|86250
HOU|Sturgis|Nathan|D-M|71250|75375
CLB|Stuver|Brad|GK|60000|60000
CLB|Swanson|Ben|M|60000|80416.67
PHI|Sylvestre|Brian|GK|60000|60000
NYCFC|Tasende|Jose Angel|D|60000|60000
HOU|Taylor|Jermaine|D|203500|213000
NYCFC|Taylor|Tony|F|75000|84375
CLB|Tchani|Tony|M|170000|195000
VAN|Techera|Cristian|F|60000|85000
VAN|Teibert|Russell|M|100000|167500
DAL|Texeira|David|F|338000|338000
POR|Thoma|Andy|D-M|60000|75000
SJ|Thompson|Tommy|M|140000|145000
NE|Tierney|Chris|D-M|110000|113333.33
MTL|Tissot|Maxim|D|60000|60000
MTL|Toia|Donny|D|60000|60000
VAN|Tornaghi|Paolo|GK|80000|80000
COL|Torres|Gabriel|F|262000|274500
HOU|Torres|Erick|F|350000|425000
SEA|Torres|Roman|D|438000|513812.5
CLB|Trapp|Wil|M|137500|164500
|Tshuma|Schillo|F|85000|123000
ORL|Turner|Tyler|D|60000|60000
DAL|Ulloa|Victor|M|60000|60000
POR|Urruti|Maximiliano|F|200000.04|200000.04
SEA|Valdez|Nelson|F|960000|1215000
POR|Valeri|Diego|M|550000|550000
RSL|Vasquez|Elias|D|110000|122136.67
LA|Vayrynen|Mika|M|204996|227496
NYCFC|Velasquez|Sebastian|M|60000|60000
MTL|Venegas|Johan|M|120000|132500
NY|Veron|Gonzalo|M-F|200004|200004
NYCFC|Villa|David|F|5610000|5610000
POR|Villafana|Jorge|F|130000|135000
LA|Villarreal|Jose|M|60000|61875
PHI|Vitoria|Steven|D|400000|400000
CLB|Wahl|Tyson|D|95000|99666.67
LA|Walker|Kenney|M|60000|60000
NY|Wallace|Anthony|M-D|60000|60000
POR|Wallace|Rodney|M-D|165000|190000
TOR|Warner|Collen|M-F|129937|157437
VAN|Waston|Kendall|D|225000|226250
CHI|Watson|Matt|M|80620|91689.16
DAL|Watson|Jevaughn|M-D|160000|180000
NYCFC|Watson-Siriboe|Kwame|D|65000|81666.67
COL|Watts|Jared|M|60000|60000
POR|Weber|Andrew|GK|60000|60000
PHI|Wenger|Andrew|D/F|180000|282000
PHI|White|Ethan|D|125000|125000
HOU|Williams|Sheanon|F|145000|150500
MTL|Williams|Romario|F|65000|87000
TOR|Williams|Josh|D|125000|125000
HOU|Willis|Joe|GK|90000|90000
